Participant,Gender,Consonant,Following_Vowel,Rating,Stimuli,Curvature_Degree,Curvature_Location,MCI,real_1,imag_1,mod_1,F2_mean,F3_mean,COG,Dispersion,Skewness
P15,F,z,i,Alveolar,ziben,0.267027272,0.577586453,2.332024405,39.92096615,-35.61954751,53.50173552,1902.951733,3161.285501,4490.226573,3375.367779,0.099614196
P15,F,zh,a,bunched,zhadui,0.248430645,0.325219299,1.912925854,38.85969437,-42.9398283,57.91290617,2319.803611,3316.268709,3965.799734,2352.557942,0.448949369
P15,F,ch,a,humped,chaqu,0.278002644,0.369604054,1.882048225,30.6095685,-53.67532489,61.78985504,2211.295302,3017.26811,3332.133411,2186.688756,0.77013839
P15,F,s,a,Alveolar,sahuang,0.247110089,0.669141414,2.445205774,18.03893121,-32.70503912,37.35000164,2004.233854,3264.795971,6052.720708,3339.309288,-0.611772089
P15,F,c,a,Alveolar,cayao,0.279129748,0.642158237,2.534313078,41.72606311,-35.28401472,54.64454261,2009.723338,3254.677587,3527.729528,3120.914052,0.572970698
P15,F,sh,a,humped,shafa,0.240764755,0.316556772,1.498689861,37.76048868,-37.83833563,53.45646966,2350.58726,2944.737133,4890.722502,2523.200208,0.318274549
P15,F,zh,u,humped,zhurou,0.344963026,0.438539736,2.690044242,26.83122942,-53.83784027,60.15336996,2158.214678,3419.123666,4642.482733,2588.124896,-0.12376914
P15,F,zh,i,bunched,zhidao,0.287073533,0.267740041,3.122666095,30.3591238,-38.85746735,49.31104508,2561.459619,3519.00211,3825.77148,2217.278855,0.562003475
P15,F,z,u,Alveolar,zufang,0.340568796,0.513545008,3.39559992,6.700601709,-66.0112313,66.35043874,1881.297169,3432.737346,4857.483973,2805.063846,0.088664118
P15,F,c,u,Alveolar,cuxin,0.464318079,0.457051396,2.366451605,14.57059955,-58.43489268,60.2240737,1864.789312,3187.462268,4388.615755,2826.151416,0.164931449
P15,F,s,u,Alveolar,suxing,0.389234728,0.429804616,3.17664389,20.59935377,-57.50359737,61.08188837,1958.50465,3326.390804,6208.375631,2362.63383,-0.781828413
P16,F,sh,u,humped,shuben,0.418350875,0.47722537,2.537505513,17.40166893,-59.38628693,61.88335121,2140.927099,3256.656308,4762.780076,1992.968995,-0.302773151
P16,F,ch,u,humped,churu,0.322806347,0.42318477,2.433183641,27.45942283,-55.64979222,62.05577553,1951.107182,3310.283732,4452.224067,2073.395984,-0.310484273
P16,F,z,a,Alveolar,zadao,0.256679412,0.435334397,1.579771737,28.9257155,-52.31685815,59.78085533,1989.044124,3072.794667,5186.51732,3540.352589,-0.223347764
